Player,Pos,Team,Num,Height,Weight,DOB
Ryan Nugent-Hopkins,C,EDM,93,72,192,4/12/93
Darnell Nurse,D,EDM,25,76,215,2/4/95
William Nylander,RW,TOR,88,72,202,5/1/96
Gustav Nyquist,LW,NAS,14,71,180,9/1/89
Liam O'Brien,C,ARI,38,73,213,7/29/94
Drew O'Connor,LW,PIT,10,75,200,6/9/98
Logan O'Connor,RW,COL,25,72,175,8/14/96
Jordan Oesterle,D,CAL,82,72,187,6/25/92
Jake Oettinger,G,DAL,29,77,224,12/18/98
Kyle Okposo,RW,BUF,21,72,218,4/16/88
Jamie Oleksiak,D,SEA,24,79,257,12/21/92
Mathieu Olivier,RW,CLB,24,73,217,2/11/97
Fredrik Olofsson,LW,COL,22,74,190,5/27/96
Victor Olofsson,LW,BUF,71,71,181,7/18/95
Ryan O'Reilly,C,NAS,90,73,207,2/7/91
Dmitry Orlov,D,CAR,7,71,214,7/23/91
T.J. Oshie,RW,WAS,77,72,187,12/23/86
Alex Ovechkin,LW,WAS,8,75,238,9/17/85
Brayden Pachal,D,VEG,94,74,202,8/23/99
Max Pacioretty,LW,WAS,67,74,217,11/20/88
Jean-Gabriel Pageau,C,NYI,44,71,185,11/11/92
Ondrej Palat,LW,NJ,18,72,194,3/28/91
Kyle Palmieri,RW,NYI,21,71,196,2/1/91
Artemi Panarin,LW,NYR,10,72,175,10/30/91
Colton Parayko,D,STL,55,78,228,5/12/93
Juuso Parssinen,C,NAS,75,75,212,2/1/01
David Pastrnak,RW,BOS,88,73,195,5/25/96
Nicholas Paul,LW,TB,20,75,223,3/20/95
Joe Pavelski,C,DAL,16,71,196,7/11/84
Tanner Pearson,LW,MON,70,73,207,8/10/92
Andrew Peeke,D,CLB,2,75,210,3/17/98
Adam Pelech,D,NYI,3,75,210,8/16/94
Jakob Pelletier,LW,CAL,22,69,170,3/7/01
Nick Perbix,D,TB,48,74,191,6/15/98
Cole Perfetti,C,WIN,91,71,184,1/1/02
David Perron,LW,DET,57,73,196,5/28/88
Corey Perry,RW,CHI,94,75,208,5/16/85
Scott Perunovich,D,STL,48,70,175,8/18/98
Brett Pesce,D,CAR,22,75,206,11/15/94
JJ Peterka,RW,BUF,77,72,189,1/14/02
Jacob Peterson,C,SJ,24,73,180,7/19/99
Jeff Petry,D,DET,46,75,209,12/9/87
Elias Pettersson,C,VAN,40,74,176,11/12/98
Marcus Pettersson,D,PIT,28,75,177,5/8/96
Michael Pezzetta,LW,MON,55,73,217,3/13/98
Matthew Phillips,RW,WAS,45,67,140,4/6/98
Alex Pietrangelo,D,VEG,7,75,215,1/18/90
Shane Pinto,C,OTT,57,75,201,11/12/00
Neal Pionk,D,WIN,4,72,185,7/29/95
Tyler Pitlick,C,NYR,71,74,199,11/1/91
Ryan Poehling,C,PHI,25,74,196,1/3/99
Brayden Point,C,TB,21,71,180,3/13/96
Matthew Poitras,C,BOS,51,71,176,3/10/04
Tucker Poolman,D,VAN,5,74,199,6/8/93
Owen Power,D,BUF,25,78,218,11/22/02
Carey Price,G,MON,31,75,217,8/16/87
Cayden Primeau,G,MON,30,74,207,8/11/99
Ivan Prosvetov,G,COL,50,77,195,3/5/99
Aliaksei Protas,C,WAS,21,78,225,1/6/01
Ivan Provorov,D,CLB,9,73,201,1/13/97
Ryan Pulock,D,NYI,6,74,216,10/6/94
Jonathan Quick,G,NYR,32,73,215,1/21/86
Jack Quinn,RW,BUF,22,73,185,9/19/01
Antti Raanta,G,CAR,32,72,195,5/12/89
Darren Raddysh,D,TB,43,73,200,2/28/96
Taylor Raddysh,RW,CHI,11,75,198,2/18/98
Rickard Rakell,RW,PIT,67,73,195,5/5/93
Mikko Rantanen,RW,COL,96,76,215,10/29/96
Michael Rasmussen,C,DET,27,78,211,4/17/99
Jack Rathbone,D,PIT,3,70,177,5/20/99
Lucas Raymond,LW,DET,23,71,176,3/28/02
Ryan Reaves,RW,TOR,75,74,226,1/20/87
Lukas Reichel,LW,CHI,27,72,170,5/17/02
Mike Reilly,D,FLA,6,73,196,7/13/93
James Reimer,G,DET,47,75,205,3/15/88
Sam Reinhart,C,FLA,13,74,193,11/6/95
Morgan Rielly,D,TOR,44,73,225,3/9/94
Rasmus Ristolainen,D,PHI,55,76,221,10/27/94
Jason Robertson,LW,DAL,21,75,202,7/22/99
Evan Rodrigues,C,FLA,17,71,175,7/28/93
Alexander Romanov,D,NYI,28,73,215,1/6/00
Kevin Rooney,C,CAL,21,74,190,5/21/93
Jerad Rosburg,D,DAL,39,74,199,6/18/96
Jack Roslovic,C,CLB,96,73,200,1/29/97
Marco Rossi,C,MIN,23,69,182,9/23/01
Matt Roy,D,LA,3,73,205,3/1/95
Nicolas Roy,C,VEG,10,76,202,2/5/97
Chad Ruhwedel,D,PIT,2,71,191,5/7/90
Bryan Rust,RW,PIT,17,71,192,5/11/92
Jan Rutta,D,SJ,84,75,204,7/29/90
Adam Ruzicka,C,CAL,63,76,215,5/11/99
Derek Ryan,C,EDM,10,70,185,12/29/86
Brandon Saad,LW,STL,20,73,215,10/27/92
Dylan Samberg,D,WIN,54,76,219,1/24/99
Ilya Samsonov,G,TOR,35,76,217,2/22/97
Mattias Samuelsson,D,BUF,23,76,231,3/14/00
Jake Sanderson,D,OTT,85,75,195,7/8/02
Rasmus Sandin,D,WAS,38,71,182,3/7/00
Felix Sandstrom,G,PHI,32,74,191,1/12/97
Travis Sanheim,D,PHI,6,75,181,3/29/96
Juuse Saros,G,NAS,74,71,180,4/19/95
David Savard,D,MON,58,73,238,10/22/90
Matt Savoie,C,BUF,93,70,179,1/1/04
Marco Scandella,D,STL,6,75,212,2/23/90
Mark Scheifele,C,WIN,55,75,198,3/15/93
Brayden Schenn,C,STL,10,73,199,8/22/91
Luke Schenn,D,NAS,2,74,225,11/2/89
Nick Schmaltz,C,ARI,8,72,181,2/23/96
Akira Schmid,G,NJ,40,77,205,5/12/00
Nate Schmidt,D,WIN,88,72,195,7/16/91
Braden Schneider,D,NYR,4,75,211,9/20/01
Justin Schultz,D,SEA,4,74,190,7/6/90
Jaden Schwartz,LW,SEA,17,70,185,6/25/92
Brent Seabrook,D,TB,-,75,220,4/20/85
Nick Seeler,D,PHI,24,74,201,6/3/93
Tyler Seguin,C,DAL,91,73,207,1/31/92
Moritz Seider,D,DET,53,76,204,4/6/01
Mikhail Sergachev,D,TB,98,73,217,6/25/98
Damon Severson,D,CLB,78,74,205,8/7/94
Yegor Sharangovich,C,CAL,17,74,196,6/6/98
Kevin Shattenkirk,D,BOS,12,72,212,1/29/89
Ryan Shea,D,PIT,5,74,200,2/11/97
Conor Sheary,LW,TB,73,69,179,6/8/92
Kiefer Sherwood,LW,NAS,44,72,194,3/31/95
Igor Shesterkin,G,NYR,31,73,197,12/30/95
Devin Shore,C,SEA,94,73,206,7/19/94
Jonas Siegenthaler,D,NJ,71,74,218,5/6/97
Jakob Silfverberg,RW,ANA,33,73,207,10/13/90
Cole Sillinger,C,CLB,4,73,201,5/16/03
Colton Sissons,C,NAS,10,73,200,11/5/93
Jeff Skinner,LW,BUF,53,71,197,5/16/92
Stuart Skinner,G,EDM,74,76,230,11/1/98
Brady Skjei,D,CAR,76,75,210,3/26/94
Juraj Slafkovsky,LW,MON,20,75,230,3/30/04
Jaccob Slavin,D,CAR,74,75,207,5/1/94
Brendan Smith,D,NJ,2,74,200,2/8/89
Cole Smith,LW,NAS,36,75,195,10/28/95
Craig Smith,RW,DAL,15,72,203,9/5/89
Givani Smith,RW,SJ,54,74,214,2/27/98
Reilly Smith,RW,PIT,19,73,185,4/1/91
Arvid Soderblom,G,CHI,40,75,180,8/19/99
Ilya Sorokin,G,NYI,30,75,195,8/4/95
Carson Soucy,D,VAN,7,77,208,7/27/94
Justin Sourdif,RW,FLA,24,71,180,3/24/02
Jordan Spence,D,LA,21,70,180,2/24/01
Daniel Sprong,RW,DET,88,72,202,3/17/97
Jared Spurgeon,D,MIN,46,69,166,11/29/89
Jordan Staal,C,CAR,11,76,220,9/10/88
Marc Staal,D,PHI,18,76,208,1/13/87
Steven Stamkos,C,TB,91,72,182,2/7/90
Logan Stanley,D,WIN,64,79,242,5/26/98
Troy Stecher,D,ARI,51,70,184,4/7/94
Sam Steel,C,DAL,18,71,185,2/3/98
Kevin Stenlund,C,FLA,82,77,215,9/20/96
Chandler Stephenson,C,VEG,20,72,209,4/22/94
Clay Stevenson,G,WAS,33,76,194,3/3/99
Anthony Stolarz,G,FLA,41,78,243,1/20/94
Mark Stone,RW,VEG,61,75,212,5/13/92
Brady Stonehouse,RW,EDM,41,70,193,8/6/04
Dylan Strome,C,WAS,17,75,200,3/7/97
Ryan Strome,C,ANA,16,73,191,7/11/93
Jack Studnicka,C,VAN,23,73,187,2/18/99
Nico Sturm,C,SJ,7,75,209,5/3/95
Tim Stutzle,LW,OTT,18,72,193,1/15/02
Oskar Sundqvist,C,STL,70,75,220,3/23/94
Pius Suter,C,VAN,24,71,179,5/24/96
Ryan Suter,D,DAL,20,73,201,1/21/85
Nick Suzuki,C,MON,14,71,212,8/10/99
Andrei Svechnikov,RW,CAR,37,74,195,3/26/00
Jeremy Swayman,G,BOS,1,74,194,11/24/98
Cam Talbot,G,LA,39,76,201,7/5/87
Brandon Tanev,LW,SEA,13,72,189,12/31/91
Chris Tanev,D,CAL,8,74,193,12/20/89
Vladimir Tarasenko,RW,OTT,91,73,228,12/13/91
Daniil Tarasov,G,CLB,40,77,196,3/27/99
Tomas Tatar,LW,COL,90,70,173,12/1/90
John Tavares,C,TOR,91,73,211,9/20/90
Teuvo Teravainen,LW,CAR,86,71,191,9/11/94
Troy Terry,RW,ANA,19,72,185,9/10/97
Alexandre Texier,C,CLB,42,73,186,9/13/99
Shea Theodore,D,VEG,27,74,197,8/3/95
Robert Thomas,C,STL,18,72,218,7/2/99
Logan Thompson,G,VEG,36,76,205,2/25/97
Tage Thompson,C,BUF,72,78,220,10/30/97
Chris Tierney,C,NJ,11,73,191,7/1/94
Conor Timmins,D,TOR,25,74,206,9/18/98
Jarred Tinordi,D,CHI,25,78,229,2/20/92
Owen Tippett,RW,PHI,74,73,207,2/16/99
Brady Tkachuk,LW,OTT,7,76,221,9/16/99
Matthew Tkachuk,LW,FLA,19,74,206,12/11/97
Devon Toews,D,COL,7,73,191,2/21/94
Tyler Toffoli,RW,NJ,73,72,203,4/24/92
Eeli Tolvanen,RW,SEA,20,70,191,4/22/99
Philip Tomasino,C,NAS,26,72,179,7/28/01
Matt Tomkins,G,TB,90,75,194,6/19/94
Alexey Toropchenko,RW,STL,13,78,222,6/25/99
Yakov Trenin,C,NAS,13,74,201,1/13/97
Vincent Trocheck,C,NYR,16,71,187,7/11/93
Jacob Trouba,D,NYR,8,75,209,2/26/94
Alex Tuch,RW,BUF,89,76,219,5/10/96
Tyler Tucker,D,STL,75,73,204,3/1/00
Linus Ullmark,G,BOS,35,77,212,7/31/93
Urho Vaakanainen,D,ANA,5,74,200,1/1/99
Juuso Valimaki,D,ARI,4,74,205,10/6/98
James van Riemsdyk,LW,BOS,21,75,208,5/4/89
Trevor van Riemsdyk,D,WAS,57,75,191,7/24/91
Vitek Vanecek,G,NJ,41,74,184,1/9/96
Semyon Varlamov,G,NYI,40,74,205,4/27/88
Andrei Vasilevskiy,G,TB,88,76,220,7/25/94
Frank Vatrano,RW,ANA,77,71,197,3/14/94
Karel Vejmelka,G,ARI,70,76,224,5/25/96
Joe Veleno,C,DET,90,73,203,1/13/00
Carter Verhaeghe,C,FLA,23,74,180,8/14/95
Jimmy Vesey,LW,NYR,26,75,200,5/26/93
Gabriel Vilardi,RW,WIN,13,75,215,8/16/99
Dan Vladar,G,CAL,80,77,209,8/20/97
Alex Vlasic,D,CHI,72,78,199,6/5/01
Marc-Edouard Vlasic,D,SJ,44,73,205,3/30/87
Jakub Voracek,RW,ARI,93,74,216,8/15/89
Jakub Vrana,LW,STL,15,72,190,2/28/96
Chris Wagner,RW,COL,14,72,192,5/27/91
Oliver Wahlstrom,RW,NYI,26,74,200,6/13/00
Sammy Walker,C,MIN,18,70,182,6/7/99
Sean Walker,D,PHI,26,71,195,11/13/94
Jake Walman,D,DET,96,74,215,2/20/96
Austin Watson,LW,TB,51,76,204,1/13/92
Shea Weber,D,ARI,-,76,230,8/14/85
Scott Wedgewood,G,DAL,41,74,201,8/14/92
MacKenzie Weegar,D,CAL,52,72,206,1/7/94
Alex Wennberg,C,SEA,21,74,190,9/22/94
Zach Werenski,D,CLB,8,74,213,7/19/97
Blake Wheeler,RW,NYR,17,77,222,8/31/86
Zach Whitecloud,D,VEG,2,74,218,11/28/96
Chris Wideman,D,MON,6,70,180,1/7/90
Tom Wilson,RW,WAS,43,76,220,3/29/94
Joseph Woll,G,TOR,60,75,202,7/12/98
Miles Wood,LW,COL,28,74,195,9/13/95
Arber Xhekaj,D,MON,72,76,240,1/30/01
Kailer Yamamoto,RW,SEA,56,68,153,9/29/98
Jesse Ylonen,RW,MON,56,73,200,10/3/99
Cam York,D,PHI,8,71,175,1/5/01
Pavel Zacha,C,BOS,18,76,199,4/6/97
Filip Zadina,RW,SJ,18,72,190,11/27/99
Nikita Zadorov,D,CAL,16,78,248,4/16/95
Nikita Zaitsev,D,CHI,22,74,192,10/29/91
Egor Zamula,D,PHI,5,75,177,3/30/00
Trevor Zegras,C,ANA,11,72,185,3/20/01
Fabian Zetterlund,LW,SJ,20,71,220,8/25/99
Mika Zibanejad,C,NYR,93,74,201,4/18/93
Artem Zub,D,OTT,2,74,200,10/3/95
Mats Zuccarello,RW,MIN,36,68,181,9/1/87
Jason Zucker,LW,ARI,16,71,192,1/16/92
