,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year,Salary,Cap Hit,_merge
203,Zach Hyman,EDM,76,27,27,54,-8,18,36,213,60,81,74,34,29,30,39,45,46.43,2022,"7,650,000","5,500,000",both
204,Conor Garland,VAN,77,19,32,51,16,14,36,202,65,63,52,36,50,22,5,6,45.45,2022,"6,000,000","4,950,000",both
205,Cody Ceci,EDM,78,5,22,27,9,7,14,102,75,36,117,39,15,122,0,0,0.0,2022,"4,500,000","3,250,000",both
206,Evan Bouchard,EDM,81,12,31,43,9,14,28,205,122,73,79,79,37,111,0,0,0.0,2022,"3,500,000","3,900,000",both
207,Ryan McLeod,EDM,71,9,13,22,-1,6,12,82,32,29,28,41,39,25,249,276,47.43,2022,"2,100,000","2,100,000",both
208,Tyler Myers,VAN,82,1,17,18,13,25,66,129,84,45,145,56,32,149,0,0,0.0,2022,"1,000,000","6,000,000",both
209,Ryan Nugent-Hopkins,EDM,63,11,39,50,3,8,16,154,47,30,42,34,43,34,179,257,41.06,2022,"6,250,000","5,125,000",both
210,Quinn Hughes,VAN,76,8,61,69,11,14,28,152,143,52,19,43,42,56,0,0,0.0,2022,"8,600,000","7,850,000",both
211,Leon Draisaitl,EDM,80,55,55,110,16,19,40,278,95,109,53,88,73,25,884,776,53.25,2022,"8,000,000","8,500,000",both
212,Warren Foegele,EDM,82,12,14,26,-9,12,24,142,54,49,127,29,44,15,13,15,46.43,2022,"3,250,000","2,750,000",both
213,J.T. Miller,VAN,80,32,67,99,13,22,47,206,57,87,172,62,56,56,667,568,54.01,2022,"1,000,000","8,000,000",both
214,Bowen Byram,COL,32,5,12,17,7,6,12,49,30,23,53,11,14,26,0,0,0.0,2022,"3,080,000","3,850,000",both
215,Mikko Rantanen,COL,75,35,57,92,36,27,56,253,94,110,58,48,48,42,166,190,46.63,2022,"9,500,000","9,250,000",both
216,Samuel Girard,COL,67,5,24,29,-3,10,20,80,72,37,65,28,21,90,0,0,0.0,2022,"5,000,000","5,000,000",both
217,Seth Jones,CHI,78,5,46,51,-38,14,28,194,110,61,99,71,34,155,0,0,0.0,2022,"7,500,000","9,500,000",both
218,Cale Makar,COL,79,28,58,86,49,13,26,240,174,79,95,40,49,110,0,0,0.0,2022,"11,000,000","9,000,000",both
219,Connor Murphy,CHI,57,4,6,10,-15,22,47,71,52,27,130,47,19,150,0,0,0.0,2022,"5,800,000","4,400,000",both
220,Valeri Nichushkin,COL,63,25,26,51,20,7,14,180,37,47,89,24,38,27,0,5,0.0,2022,"7,500,000","6,125,000",both
221,Tyler Johnson,CHI,26,3,4,7,-9,6,12,30,11,11,37,3,5,7,31,20,60.78,2022,"4,750,000","5,000,000",both
222,Jack Johnson,COL,75,1,9,10,6,14,42,57,44,24,91,24,10,68,0,0,0.0,2022,"775,000","775,000",both
223,Logan O'Connor,COL,81,8,16,24,9,16,38,127,46,29,100,18,38,59,5,17,22.73,2022,"1,000,000","1,050,000",both
224,Filip Chytil,NYR,71,8,14,22,-1,7,14,135,43,53,24,28,23,27,137,174,44.05,2022,"3,500,000","4,437,500",both
225,K'Andre Miller,NYR,82,7,14,21,22,12,24,102,81,38,151,37,59,95,0,0,0.0,2022,"2,748,000","3,872,000",both
226,Tom Wilson,WSH,78,24,28,52,13,32,98,150,53,74,240,44,36,55,22,30,42.31,2022,"5,100,000","5,166,667",both
227,Anthony Mantha,WSH,37,9,14,23,4,7,14,82,28,22,46,13,14,18,3,1,75.0,2022,"6,500,000","5,700,000",both
228,Jacob Trouba,NYR,81,10,29,39,24,35,88,203,111,73,207,63,24,177,0,0,0.0,2022,"8,000,000","8,000,000",both
229,Evgeny Kuznetsov,WSH,79,24,54,78,6,18,44,206,56,82,42,51,54,30,505,661,43.31,2022,"6,000,000","7,800,000",both
230,Mika Zibanejad,NYR,81,30,52,82,32,6,12,220,70,94,67,58,62,47,701,640,52.27,2022,"1,000,000","8,500,000",both
231,Nick Jensen,WSH,76,5,16,21,32,9,21,88,63,53,135,44,23,91,0,0,0.0,2022,"3,000,000","4,050,000",both
232,Kaapo Kakko,NYR,43,7,10,17,12,5,10,62,27,24,8,15,12,15,1,6,14.29,2022,"2,400,000","2,100,000",both
233,Adam Fox,NYR,78,11,63,74,22,13,26,158,78,39,30,58,78,128,0,0,0.0,2022,"12,000,000","9,500,000",both
234,Artemi Panarin,NYR,75,22,74,96,21,5,18,174,104,90,22,71,56,14,1,1,50.0,2022,"1,000,000","11,642,857",both
235,John Carlson,WSH,78,17,54,71,12,9,20,195,110,83,73,55,41,114,0,0,0.0,2022,"4,000,000","8,000,000",both
236,Chris Kreider,NYR,81,53,25,78,22,12,24,259,69,85,141,45,27,39,69,68,50.36,2022,"3,000,000","6,500,000",both
237,Ryan Lindgren,NYR,78,4,11,15,18,24,48,73,54,27,129,32,19,141,0,0,0.0,2022,"4,000,000","3,000,000",both
238,Nic Dowd,WSH,64,10,14,24,8,21,44,90,22,23,139,14,28,51,505,438,53.55,2022,"1,300,000","1,300,000",both
239,T.J. Oshie,WSH,44,11,15,26,-12,9,18,78,25,36,86,18,19,30,73,96,43.2,2022,"4,000,000","5,750,000",both
240,Alex Ovechkin,WSH,77,50,40,90,8,9,18,334,174,134,155,50,32,25,4,9,30.77,2022,"1,000,000","9,500,000",both
241,Barclay Goodrow,NYR,79,12,20,32,13,25,69,115,25,41,130,37,39,53,365,373,49.46,2022,"5,100,000","3,641,667",both
242,Cole Caufield,MTL,67,23,20,43,-22,5,10,188,68,71,18,27,32,7,5,5,50.0,2022,"4,975,000","7,850,000",both
243,David Savard,MTL,63,3,14,17,-23,18,36,66,39,22,134,62,7,127,0,0,0.0,2022,"4,200,000","3,500,000",both
244,Josh Anderson,MTL,69,19,13,32,-24,24,65,151,57,74,153,31,33,35,20,22,47.62,2022,"8,000,000","5,500,000",both
245,Nick Suzuki,MTL,82,21,40,61,-27,15,30,186,71,52,89,71,50,62,700,710,49.65,2022,"10,000,000","7,875,000",both
246,Morgan Rielly,TOR,82,10,57,67,15,20,40,221,93,68,92,76,40,87,0,0,0.0,2022,"5,000,000","7,500,000",both
247,Brendan Gallagher,MTL,57,7,17,24,-7,26,71,142,56,52,54,20,17,29,13,22,37.14,2022,"8,000,000","6,500,000",both
248,Timothy Liljegren,TOR,64,5,18,23,14,7,14,79,53,31,87,41,19,60,0,0,0.0,2022,"1,500,000","1,400,000",both
249,Jake Evans,MTL,72,13,16,29,-5,11,22,124,40,31,88,33,39,37,461,465,49.78,2022,"1,700,000","1,700,000",both
250,John Tavares,TOR,79,27,47,74,-8,16,32,237,81,111,90,65,39,45,813,528,60.63,2022,"910,000","11,000,000",both
251,William Nylander,TOR,81,35,45,80,-8,8,16,257,102,107,19,33,59,30,34,31,52.31,2022,"2,500,000","6,962,366",both
252,Brandon Tanev,SEA,30,9,6,15,4,5,13,51,13,13,98,11,10,22,2,1,66.67,2022,"2,500,000","3,500,000",both
253,Jamie Oleksiak,SEA,72,1,16,17,-2,17,54,95,48,33,182,51,32,86,0,0,0.0,2022,"6,000,000","4,600,000",both
254,Jordan Eberle,SEA,79,21,23,44,-27,7,14,164,70,73,48,34,50,40,6,14,30.0,2022,"3,750,000","5,500,000",both
255,Adam Larsson,SEA,82,8,16,24,-23,25,55,119,87,55,183,34,23,138,0,0,0.0,2022,"5,500,000","4,000,000",both
256,Jaden Schwartz,SEA,38,8,15,23,-14,7,14,101,27,39,42,16,28,14,18,18,50.0,2022,"7,000,000","5,500,000",both
257,Jared McCann,SEA,74,27,23,50,-25,10,33,199,66,88,65,37,42,29,222,268,45.31,2022,"6,000,000","5,000,000",both
258,Vince Dunn,SEA,73,7,28,35,-19,27,63,121,103,58,76,48,25,82,0,0,0.0,2022,"9,000,000","7,350,000",both
259,Mikhail Sergachev,TBL,78,7,31,38,5,25,59,149,77,57,139,39,23,121,0,0,0.0,2022,"4,550,000","8,500,000",both
260,Steven Stamkos,TBL,81,42,66,108,25,18,36,241,77,82,93,24,30,31,544,524,50.94,2022,"1,000,000","8,500,000",both
261,Anthony Cirelli,TBL,76,17,26,43,14,24,70,146,57,56,75,13,60,67,441,505,46.62,2022,"1,625,000","6,250,000",both
262,Marcus Pettersson,PIT,73,2,17,19,9,19,38,83,53,53,122,14,17,74,0,0,0.0,2022,"4,025,175","4,025,175",both
263,Kris Letang,PIT,78,10,59,69,23,23,49,216,130,58,175,79,60,122,0,0,0.0,2022,"8,000,000","6,100,000",both
264,Brayden Point,TBL,66,28,28,56,-4,12,33,175,38,78,75,24,33,27,367,351,51.11,2022,"5,000,000","9,500,000",both
265,Chad Ruhwedel,PIT,78,4,10,14,2,7,14,82,52,47,149,21,19,85,0,0,0.0,2022,"800,000","800,000",both
266,Victor Hedman,TBL,82,20,66,86,24,18,36,219,131,112,94,57,52,129,0,0,0.0,2022,"5,000,000","7,875,000",both
267,Nikita Kucherov,TBL,47,25,44,69,0,11,22,156,61,60,32,37,24,7,1,0,100.0,2022,"5,000,000","9,500,000",both
268,Zach Bogosian,TBL,48,3,5,8,2,18,53,60,32,16,114,16,7,34,0,0,0.0,2022,"1,050,000","850,000",both
269,Bryan Rust,PIT,60,24,33,57,7,7,14,180,50,72,43,36,22,24,1,5,16.67,2022,"6,100,000","5,125,000",both
270,Drew O'Connor,PIT,22,3,2,5,-2,2,4,40,8,14,12,5,9,7,18,34,34.62,2022,"925,000","925,000",both
271,Jeff Carter,PIT,76,19,26,45,-8,18,38,200,69,45,98,39,33,50,648,489,56.99,2022,"3,000,000","3,125,000",both
